sample_stem                                         , specimen_id, cell_line, genotype, condition, microscope, magnification, position   , session_date, experiment                                                      , has_mito_labels, has_cristae_labels, formats_on_disk, primary_h5_path,on_cluster,cluster_n_files,cluster_formats,cluster_primary_h5,cluster_all_paths
36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop         ,       36859, J2       , WT      , WT       , TS        , 66K          , R04_PS06   , 2026-03-20  , 20260320_for_Luca                                               , yes            , yes               , .h5;.mrc       , /home/freckmann15/data/mitochondria/cooper/20260320_for_Luca_export/36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop.h5,yes,3,.h5;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop.h5,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_export/36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/mito_tomo/outer-membrane3/4_20230829_TOMO_HOI_WT_36859_J2_uPSTEM750/36859_J2_66K_TS_R04_PS06_rec_2Kb1dawbp_crop.h5
37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF        ,       37371, O5       , WT      , CTRL     , TS        , 66K          , SP_34-01   , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               , yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/cristae/cooper/fidi_2025/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF_s2_combined.h5,yes,13,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2025/raw_mitos_combined_s2/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF_s2_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2025/raw_mitos_combined_s2/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF_s2_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/ctrl/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/ctrl/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_cropF_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/20250228_for_Mito_Seg/20250228_for_Mito_Seg/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop2.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_34-01_rec_2Kb1dawbp_crop_raw.mrc
mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF     ,       37371, O5       , WT      , CTRL     , TS        , 66K          , SP_34-02   , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,11,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/ctrl/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/ctrl/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_cropF_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/mod_37371_O5_66K_TS_SP_34-02_re_2Kb1dawbp_crop_raw.mrc
37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF           ,       37371, O5       , WT      , CTRL     , TS        , 66K          , SP_35      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,19,.h5;.mod;.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/ctrl/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/ctrl/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_cropF_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_downscaled_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_combined.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_Mito_cristae_segmentation/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_raw.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/raw_mito_combined_s2/37371_O5_66K_TS_SP_35_rec_2Kb1dawbp_crop3_combined.h5
37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF        ,       37371, O5       , WT      , CTRL     , TS        , 66K          , SP_38-01   , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,6,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/ctrl/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/ctrl/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_cropF_s2_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/20250228_for_Mito_Seg/20250228_for_Mito_Seg/37371_O5_66K_TS_SP_38-01_rec_2Kb1dawbp_crop2.mrc
37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF           ,       37371, O5       , WT      , CTRL     , TS        , 66K          , SP_67      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,11,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/CTRL/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/ctrl/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/ctrl/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/ctrl/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_cropF_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/orig/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop_downscaled_s2.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_down_s2/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop_downscaled.h5;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop-contours.mod;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop_labels.mrc;/scratch-grete/projects/nim00007/data/mitochondria/cooper/fidi_orig/20240722_M13DKO_1/37371_O5_66K_TS_SP_67_rec_2Kb1dawbp_crop_raw.mrc
37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F          ,       37371, O4       , M13DKO  , M13DKO   , TS        , 66K          , SC_50      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,11,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_1.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_1_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_1_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_2_s2_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_50_rec_2Kb1dawbp_crop_F_s2_s2.h5
37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF           ,       37371, O4       , M13DKO  , M13DKO   , TS        , 66K          , SC_52      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023; also in cristae/fidi_2025    , yes            , yes               , .h5;.mod;.mrc  , /home/freckmann15/data/cristae/cooper/fidi_2025/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF_s2_combined.h5,yes,6,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2025/raw_mitos_combined_s2/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF_s2_combined.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/cristae/2025/raw_mitos_combined_s2/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF_s2_combined.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_52_rec_2Kb1dawbp_cropF_s2_s2.h5
37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF           ,       37371, O4       , M13DKO  , M13DKO   , TS        , 66K          , SC_54      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,5,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_54_rec_2Kb1dawbp_cropF_s2_s2.h5
37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF           ,       37371, O4       , M13DKO  , M13DKO   , TS        , 66K          , SC_57      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,5,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_57_rec_2Kb1dawbp_cropF_s2_s2.h5
37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF           ,       37371, O4       , M13DKO  , M13DKO   , TS        , 66K          , SC_59      , 2025-10-23  , fidi_2025_CTRL_vs_M13DKO_20251023                               ,                ,                   , .mod;.mrc      , ,yes,5,.h5;.mod;.mrc,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF.h5,/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF.mod;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/20251023_cryptshare/M13DKO/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF.mrc;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5/m13dko/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF.h5;/mnt/lustre-grete/usr/u12103/mitochondria/cooper/fidi_2025/exported_to_hdf5_s2/m13dko/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF_s2.h5;/mnt/lustre-grete/usr/u12103/mitochondria/mito-tomo-all/fidi_s4/2025/m13dko/37371_O4_66K_TS_SC_59_rec_2Kb1dawbp_cropF_s2_s2.h5
mo6_37371_B4_23Kb1_TS_nav16_SC_03_rec_4Kb1dawbp_crop,       37371, B4       , unknown , unknown  , TS        , 23K/4K       , nav16_SC_03, 2026-03-20  , 20260320_for_Luca                                               ,                ,                   , .mrc           , ,yes,1,.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/mo6_37371_B4_23Kb1_TS_nav16_SC_03_rec_4Kb1dawbp_crop.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/mo6_37371_B4_23Kb1_TS_nav16_SC_03_rec_4Kb1dawbp_crop.mrc
mo6_37371_B4_23Kb1_TS_SC_01_rec_4Kb1dawbp_crop      ,       37371, B4       , unknown , unknown  , TS        , 23K/4K       , SC_01      , 2026-03-20  , 20260320_for_Luca                                               ,                ,                   , .mrc           , ,yes,1,.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/mo6_37371_B4_23Kb1_TS_SC_01_rec_4Kb1dawbp_crop.mrc,/scratch-grete/projects/nim00007/data/mitochondria/cooper/2026/20260320_for_Luca_original/mo6_37371_B4_23Kb1_TS_SC_01_rec_4Kb1dawbp_crop.mrc
